product_id,name,price
556b548d-5643-4d06-a3f8-b8970ff5b693,"Product 0",15.09
ac1c4f03-8575-4e95-902d-716084ea4d0e,"Product 1",6.99
7a71acf4-9758-4e84-bf5f-0fa37a0b94f9,"Product 2",12.23
7878c5c8-9c4d-4aae-a94d-783fb74965ac,"Product 3",0.80
61bf1e7b-2590-42b5-9bbe-5f96cc224a61,"Product 4",6.36
5d3bfb6a-62e3-49e4-b004-db2f7632f402,"Product 5",10.35
bad6fb44-6f40-4d47-b366-f22b72f72839,"Product 6",0.36
8e9fda3f-635d-4627-90d1-0fe5b5c1d9a0,"Product 7",6.08
718e42ca-4f3f-45ec-9625-e211586f5f63,"Product 8",13.00
3d18bffb-5027-4001-a389-f34eef4eb88a,"Product 9",7.20
171766b5-e640-4fed-8b17-e49c01d3a9a6,"Product 10",4.98
2f0626a3-c804-4b55-b97f-4f9decc97e39,"Product 11",8.10
75f04978-147e-4a86-9029-579d9c32cdb6,"Product 12",13.31
fd487f4c-51b2-4931-a67c-a4c60b6b9eba,"Product 13",6.45
8eb14cd8-3157-4447-b358-97c84dcc2e74,"Product 14",9.90
5c35ccbe-7b71-4bc1-8c2b-091a1cadccac,"Product 15",3.17
dfedf7f0-a442-4638-9d41-6a5536a82b17,"Product 16",9.46
490783f7-9003-4060-a3dc-78f09d861666,"Product 17",18.60
71f7b3e7-d08a-459d-8e34-2672433e5241,"Product 18",16.85
585e4993-319f-460b-aeb0-8eb2ce80c981,"Product 19",7.58
