order_id,product_id,date,quantity
47f46168-d155-42e3-8094-3d2e00bc7348,8eb14cd8-3157-4447-b358-97c84dcc2e74,"2016-04-06 12:18",47
eaefc579-b335-4ac2-9d9e-4606c0874818,ac1c4f03-8575-4e95-902d-716084ea4d0e,"2020-04-16 23:08",36
eaefc579-b335-4ac2-9d9e-4606c0874818,8e9fda3f-635d-4627-90d1-0fe5b5c1d9a0,"2020-04-16 23:08",3
eaefc579-b335-4ac2-9d9e-4606c0874818,490783f7-9003-4060-a3dc-78f09d861666,"2020-04-16 23:08",9
a4baa688-85ea-4ee9-8141-959aa01690b7,71f7b3e7-d08a-459d-8e34-2672433e5241,"2017-09-16 07:48",40
a4baa688-85ea-4ee9-8141-959aa01690b7,75f04978-147e-4a86-9029-579d9c32cdb6,"2017-09-16 07:48",30
b3935db7-0487-4e4c-bad5-c4f525d8052e,718e42ca-4f3f-45ec-9625-e211586f5f63,"2022-04-10 23:57",41
b3935db7-0487-4e4c-bad5-c4f525d8052e,7878c5c8-9c4d-4aae-a94d-783fb74965ac,"2022-04-10 23:57",6
bd4d4223-7983-4aa7-be3a-f508fc055cd4,75f04978-147e-4a86-9029-579d9c32cdb6,"2022-01-02 18:31",32
bd4d4223-7983-4aa7-be3a-f508fc055cd4,171766b5-e640-4fed-8b17-e49c01d3a9a6,"2022-01-02 18:31",40
bd4d4223-7983-4aa7-be3a-f508fc055cd4,dfedf7f0-a442-4638-9d41-6a5536a82b17,"2022-01-02 18:31",14
bbdfd5be-98d6-4c2f-b90d-360c78ef0302,2f0626a3-c804-4b55-b97f-4f9decc97e39,"2021-02-10 12:36",34
bbdfd5be-98d6-4c2f-b90d-360c78ef0302,fd487f4c-51b2-4931-a67c-a4c60b6b9eba,"2021-02-10 12:36",7
bbdfd5be-98d6-4c2f-b90d-360c78ef0302,dfedf7f0-a442-4638-9d41-6a5536a82b17,"2021-02-10 12:36",14
bbdfd5be-98d6-4c2f-b90d-360c78ef0302,75f04978-147e-4a86-9029-579d9c32cdb6,"2021-02-10 12:36",39
6914f2d3-c8a2-491e-aad9-d82b24dbd271,fd487f4c-51b2-4931-a67c-a4c60b6b9eba,"2016-08-13 23:29",45
433aadd9-8894-4d45-899f-fc3d64fc99e7,5c35ccbe-7b71-4bc1-8c2b-091a1cadccac,"2020-04-06 10:39",50
433aadd9-8894-4d45-899f-fc3d64fc99e7,2f0626a3-c804-4b55-b97f-4f9decc97e39,"2020-04-06 10:39",9
6550e70c-6db0-4774-9206-9b9e6129319c,718e42ca-4f3f-45ec-9625-e211586f5f63,"2022-10-20 18:34",38
0949665c-62c1-4893-b58e-de14fc0b4f35,8eb14cd8-3157-4447-b358-97c84dcc2e74,"2018-12-15 08:49",45
0949665c-62c1-4893-b58e-de14fc0b4f35,490783f7-9003-4060-a3dc-78f09d861666,"2018-12-15 08:49",8
2679a57f-1b58-471a-aa20-64ff46c7a49a,3d18bffb-5027-4001-a389-f34eef4eb88a,"2021-08-01 17:13",9
b815374f-3a20-44a4-b364-bfaeed7d94c0,5c35ccbe-7b71-4bc1-8c2b-091a1cadccac,"2017-05-12 05:59",10
b815374f-3a20-44a4-b364-bfaeed7d94c0,7878c5c8-9c4d-4aae-a94d-783fb74965ac,"2017-05-12 05:59",7
ecc1c2ea-4027-4fa2-8322-9394b9494642,585e4993-319f-460b-aeb0-8eb2ce80c981,"2020-06-25 11:37",43
f5d15d46-98a7-44fd-9d47-ac58d5b5cb2c,2f0626a3-c804-4b55-b97f-4f9decc97e39,"2016-06-20 13:40",22
c1f26297-7838-42a0-b788-3bd40cc84ab4,bad6fb44-6f40-4d47-b366-f22b72f72839,"2022-01-13 07:24",40
c1f26297-7838-42a0-b788-3bd40cc84ab4,171766b5-e640-4fed-8b17-e49c01d3a9a6,"2022-01-13 07:24",19
26e390ea-a170-4c30-a8b5-305539666115,fd487f4c-51b2-4931-a67c-a4c60b6b9eba,"2019-11-29 14:40",29
26e390ea-a170-4c30-a8b5-305539666115,8e9fda3f-635d-4627-90d1-0fe5b5c1d9a0,"2019-11-29 14:40",25
26e390ea-a170-4c30-a8b5-305539666115,556b548d-5643-4d06-a3f8-b8970ff5b693,"2019-11-29 14:40",11
6b490bfb-16bf-4cee-8860-3f473df2eb52,3d18bffb-5027-4001-a389-f34eef4eb88a,"2018-08-08 02:53",28
6b490bfb-16bf-4cee-8860-3f473df2eb52,75f04978-147e-4a86-9029-579d9c32cdb6,"2018-08-08 02:53",22
6b490bfb-16bf-4cee-8860-3f473df2eb52,bad6fb44-6f40-4d47-b366-f22b72f72839,"2018-08-08 02:53",33
6b490bfb-16bf-4cee-8860-3f473df2eb52,8e9fda3f-635d-4627-90d1-0fe5b5c1d9a0,"2018-08-08 02:53",8
